origen_lat,origen_lon,destino_lat,destino_lon,departure_time,duracion_normal_seg,duracion_trafico_seg,congestion_ratio
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T05:00:00Z,824.0,695.0,0.8434466019417476
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T06:00:00Z,824.0,675.0,0.8191747572815534
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T07:00:00Z,824.0,660.0,0.8009708737864077
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T08:00:00Z,824.0,637.0,0.7730582524271845
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T09:00:00Z,824.0,649.0,0.787621359223301
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T10:00:00Z,824.0,684.0,0.8300970873786407
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T11:00:00Z,824.0,760.0,0.9223300970873787
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T12:00:00Z,824.0,1133.0,1.375
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T13:00:00Z,824.0,1230.0,1.4927184466019416
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T14:00:00Z,824.0,1106.0,1.3422330097087378
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T15:00:00Z,824.0,1030.0,1.25
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T16:00:00Z,824.0,936.0,1.1359223300970873
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T17:00:00Z,824.0,913.0,1.108009708737864
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T18:00:00Z,824.0,896.0,1.087378640776699
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T19:00:00Z,824.0,889.0,1.078883495145631
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T20:00:00Z,824.0,868.0,1.0533980582524272
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T21:00:00Z,824.0,888.0,1.0776699029126213
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T22:00:00Z,824.0,916.0,1.1116504854368932
9.9358,-84.0558,9.9567,-84.1132,2026-08-24T23:00:00Z,824.0,1042.0,1.2645631067961165
9.9358,-84.0558,9.9567,-84.1132,2026-08-25T00:00:00Z,824.0,923.0,1.1201456310679612
9.9358,-84.0558,9.9567,-84.1132,2026-08-25T01:00:00Z,824.0,792.0,0.9611650485436893
9.9358,-84.0558,9.9567,-84.1132,2026-08-25T02:00:00Z,824.0,768.0,0.9320388349514563
9.9358,-84.0558,9.9567,-84.1132,2026-08-25T03:00:00Z,824.0,771.0,0.9356796116504854
9.9358,-84.0558,9.9567,-84.1132,2026-08-25T04:00:00Z,824.0,732.0,0.8883495145631068
9.9358,-84.0558,9.9567,-84.1132,2026-08-25T05:00:00Z,824.0,690.0,0.837378640776699
9.9358,-84.0558,9.9567,-84.1132,2026-08-25T06:00:00Z,824.0,668.0,0.8106796116504854
